date_only,Hora,Zona,CO,NOX,O3,PM2.5,PM10,WSR,WDR,date,hour,influence_plume_sum,influence_plume_log1p_sum,Q_hat_mean,u_mean,wind_cov,influence_plume_z
2024-08-01,15,CENTRO,0.62,9.0,41.0,33.94,98.0,13.1,91.0,2024-08-01,15,1236.895391442358,1012.5911312635775,7.286765772268658,13.1,1.0,-0.7431385521230941
2024-08-01,15,NORTE,0.90656394,8.1819,47.0,19.370157,84.0,9.2,135.0,2024-08-01,15,3068.270736734133,2259.0597366540514,8.878183627315206,9.2,1.0,-0.36482112787578047
2024-08-01,15,SURESTE,0.78,9.7,31.0,23.64,98.0,17.7,113.0,2024-08-01,15,1298.6440892717412,1073.40310272904,8.545020572573627,17.7,1.0,-0.743239253032752
2024-08-01,16,CENTRO,0.59000003,8.6,36.0,31.39,86.0,14.6,108.0,2024-08-01,16,1139.498226548868,945.4118023043975,7.305929343675642,14.6,1.0,-0.79437556551868
2024-08-01,16,NORTE,0.87396353,8.009996,41.0,18.320372,77.0,13.900001,155.0,2024-08-01,16,1999.4623039877451,1591.0719141727475,8.892253828733876,13.900001,1.0,-0.644787889064677
2024-08-01,16,SURESTE,0.74999994,9.1,31.0,24.08,94.0,17.199999,121.0,2024-08-01,16,1264.474477437842,1038.685117045627,8.554789632329095,17.199999,1.0,-0.759267677937477
2024-08-01,17,CENTRO,0.6,8.000001,37.0,31.96,78.0,16.099998,115.0,2024-08-01,17,1048.9020797329322,882.4668931372598,7.37567215699113,16.099998,1.0,-0.8420348171311142
2024-08-01,17,NORTE,0.8499205,7.895376,36.0,18.1684,74.0,16.0,152.0,2024-08-01,17,1743.2321429305896,1421.5728344416818,8.885058415721055,16.0,1.0,-0.7119055559095672
2024-08-01,17,SURESTE,0.7099999,9.400001,30.0,25.24,94.0,18.4,125.0,2024-08-01,17,1157.9948423181231,959.2670840922116,8.581234274107535,18.4,1.0,-0.8092155919991096
2024-08-01,18,CENTRO,0.6300001,9.1,35.0,32.199997,76.0,15.7,94.0,2024-08-01,18,1055.6908493280023,884.4064179843856,7.481241223516928,15.699999999999998,1.0,-0.8384634988174596
2024-08-01,18,NORTE,0.8604195,8.242022,31.0,18.14937,71.0,15.1,149.0,2024-08-01,18,1846.9259686606802,1492.7876519028125,8.85040679587656,15.1,1.0,-0.6847436963513089
2024-08-01,18,SURESTE,0.68,9.1,29.0,25.21,76.0,19.199999,127.0,2024-08-01,18,1091.5086790839318,909.3385890375139,8.59570622516058,19.199999,1.0,-0.8404032004443801
2024-08-01,19,CENTRO,0.62,9.800001,31.0,31.189999,81.0,14.7,102.0,2024-08-01,19,1123.180050284032,932.8893534318776,7.372050251774448,14.699999999999998,1.0,-0.8029599490249891
2024-08-01,19,NORTE,0.91560733,9.281458,29.0,19.026249,71.0,16.800001,152.0,2024-08-01,19,1659.3497979915724,1364.779531340955,8.881103865408813,16.800001,1.0,-0.7338779390925494
