CO,O3,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona,Hora
1.87,44.0,1.5,2.2,29.6,3.7,79.79,8.1,12.1,118.0,CENTRO,15
1.89,37.0,1.6,2.1,27.17,3.7,83.93,6.3,9.9,141.0,CENTRO,16
1.88,37.0,1.5,2.0,25.73,3.5,64.87,4.4,10.4,137.0,CENTRO,17
1.91,36.0,1.5,2.6,25.44,4.1,60.19,3.9,10.2,144.0,CENTRO,18
1.9,37.0,1.4,2.4,26.58,3.8,60.05,4.3,8.5,154.0,CENTRO,19
1.93,31.0,1.4,2.7,30.76,4.0,72.93,4.3,4.3,112.0,CENTRO,20
1.98,21.0,1.4,4.5,30.19,5.9,80.53,3.8,2.8,157.0,CENTRO,21
1.99,18.0,1.3,4.7,28.73,6.1,62.09,3.6,3.0,102.0,CENTRO,22
2.0,20.0,1.4,3.9,29.49,5.3,52.36,3.4,3.1,88.0,CENTRO,23
2.02,20.0,1.3,3.2,29.03,4.5,55.83,3.1,2.5,86.0,CENTRO,0
1.88,23.0,1.3,1.8,27.28,3.1,56.28,3.0,3.4,51.0,CENTRO,1
1.87,18.0,1.5,2.5,25.3,4.0,55.33,3.2,5.6,50.0,CENTRO,2
1.95,11.0,1.5,4.1,25.19,5.5,51.05,3.9,5.6,20.0,CENTRO,3
1.92,10.0,1.4,3.6,22.36,5.0,48.0,3.6,5.7,27.0,CENTRO,4
1.95,9.0,1.4,3.5,19.43,4.8,48.13,3.4,3.2,26.0,CENTRO,5
1.96,8.0,1.7,3.8,19.75,5.5,55.53,3.4,1.5,4.0,CENTRO,6
1.98,7.0,3.3,3.9,19.97,7.2,58.33,3.5500000000000003,1.2,241.0,CENTRO,7
2.08,8.0,4.8,4.5,22.02,9.3,71.3,3.7,2.3,315.0,CENTRO,8
2.36,10.0,6.4,5.4,28.35,11.8,74.95,3.9,2.9,280.0,CENTRO,9
2.5,14.0,7.2,7.6,36.35,14.7,77.03,5.3,3.6,319.0,CENTRO,10
2.28,20.0,4.8,7.0,29.3,11.7,82.43,4.8,3.2,23.0,CENTRO,11
2.2,41.0,3.2,6.8,31.41,9.9,99.54,5.3,6.3,78.0,CENTRO,12
2.09,70.0,1.7,4.6,29.5,6.3,83.49,4.6,9.0,91.0,CENTRO,13
1.96,62.0,1.5,2.6,24.55,4.0,82.64,3.6,9.1,126.0,CENTRO,14
1.93,62.0,1.5,2.1,23.41,3.6,78.28,4.1,9.6,157.0,CENTRO,15
1.94,60.0,1.5,2.4,23.88,3.9,69.08,4.3,11.9,146.0,CENTRO,16
1.89,47.0,1.6,1.7,19.44,3.2,65.11,3.4,11.9,148.0,CENTRO,17
1.94,45.0,1.5,2.3,17.91,3.8,66.02,3.0,12.1,145.0,CENTRO,18
1.93,42.0,1.4,2.2,18.26,3.5,61.54,2.9,9.9,142.0,CENTRO,19
1.88,34.0,1.3,1.5,17.07,2.8,69.87,2.7,8.5,155.0,CENTRO,20
1.87,33.0,1.3,1.3,17.19,2.6,69.84,2.6,5.6,162.0,CENTRO,21
1.92,27.0,1.3499999999999999,2.6,17.43,3.8,65.11,2.7,2.7,57.0,CENTRO,22
1.99,19.0,1.4,3.7,18.87,5.0,66.81,2.6,2.9,58.0,CENTRO,23
2.02,17.0,1.3,4.0,19.46,5.3,63.58,2.8,3.2,94.0,CENTRO,0
1.84,23.0,1.3,1.2,12.74,2.4,67.03,2.7,5.2,125.0,CENTRO,1
1.84,24.0,1.3,1.0,12.04,2.2,64.97,2.6,5.4,73.0,CENTRO,2
1.88,14.0,1.7,3.4,18.34,5.1,63.51,4.8,7.5,45.0,CENTRO,3
1.9,13.0,1.7,3.3,22.21,4.9,59.16,5.0,5.6,37.0,CENTRO,4
1.9,9.0,1.8,3.7,18.46,5.5,46.31,4.3,4.5,31.0,CENTRO,5
1.97,7.0,2.3,4.2,17.95,6.4,49.14,4.2,2.3,46.0,CENTRO,6
2.1,6.0,4.0,4.3,18.05,8.2,51.71,3.8,1.1,251.0,CENTRO,7
2.24,8.0,6.6,4.7,20.89,11.3,61.77,3.7,3.9,44.0,CENTRO,8
2.32,17.0,5.0,5.1,25.81,10.0,85.63,4.8,3.3,41.0,CENTRO,9
2.34,31.0,3.7,6.1,27.45,9.8,116.6,5.3,4.0,19.0,CENTRO,10
2.52,43.0,3.9,9.0,33.02,12.8,93.95,5.9,6.7,42.0,CENTRO,11
2.27,61.0,2.6,7.0,34.23,9.6,89.24,8.0,9.2,73.0,CENTRO,12
1.98,63.0,1.6,2.6,21.11,4.2,80.28,5.1,11.4,77.0,CENTRO,13
1.93,57.0,1.4,2.1,22.99,3.5,68.44,8.7,11.4,88.0,CENTRO,14
1.92,36.0,1.5,1.7,13.87,3.2,60.63,5.0,8.3,142.0,CENTRO,15
1.9,35.0,1.5,1.5,12.52,3.0,59.54,3.4,8.7,146.0,CENTRO,16
1.94,36.0,1.7,2.2,13.06,3.9,46.01,3.0,7.5,153.0,CENTRO,17
1.95,36.0,1.5,2.2,14.22,3.7,41.9,3.0,6.9,160.0,CENTRO,18
1.95,36.0,1.4,2.2,14.52,3.6,42.45,2.8,6.4,141.0,CENTRO,19
2.0,33.0,1.4,3.0,15.41,4.4,37.25,2.9,4.9,119.0,CENTRO,20
1.99,31.0,1.3,3.0,17.22,4.2,38.23,2.9,2.9,122.0,CENTRO,21
1.97,32.0,1.3,2.1,14.76,3.4,38.8,2.7,2.2,148.0,CENTRO,22
1.93,27.0,1.3,1.8,14.13,3.1,45.77,2.8,8.0,113.0,CENTRO,23
1.87,24.0,1.3,0.8,10.83,2.0,53.33,2.6,9.4,121.0,CENTRO,0
1.86,21.0,1.325,0.6,9.66,1.9,30.24,2.6,6.6,65.0,CENTRO,1
1.84,19.0,1.3499999999999999,0.5,8.81,1.6,28.21,2.5,8.0,64.0,CENTRO,2
1.85,19.0,1.375,0.5,8.58,1.7,46.2,2.6,5.8,63.0,CENTRO,3
1.87,14.0,1.4,1.6,8.64,3.0,50.07,2.8,5.4,16.0,CENTRO,4
1.92,8.0,1.8,2.8,10.64,4.6,47.97,5.1,4.9,41.0,CENTRO,5
1.96,6.0,3.2,3.4,10.83,6.5,51.71,5.2,3.6,61.0,CENTRO,6
2.06,6.0,6.2,3.8,14.53,10.0,48.49,5.5,2.1,31.0,CENTRO,7
2.31,8.0,6.9,4.5,16.84,11.4,61.88,4.3,2.7,41.0,CENTRO,8
2.36,14.0,5.6,4.8,17.6,10.3,64.59,4.1,3.9,21.0,CENTRO,9
2.41,26.0,4.3,5.8,19.03,10.0,68.3,4.6,4.2,26.0,CENTRO,10
2.36,43.0,3.0,5.8,21.37,8.7,86.07,4.9,6.4,33.0,CENTRO,11
2.2,57.0,2.1,5.1,22.96,7.2,86.22,6.7,7.3,61.0,CENTRO,12
2.0,63.0,1.5,2.2,19.45,3.7,50.98,12.1,10.2,75.0,CENTRO,13
1.95,57.0,1.5,1.6,17.82,3.1,52.8,15.0,12.5,78.0,CENTRO,14
1.91,43.0,1.5333333333333334,1.1,14.34,2.6,35.26,9.3,14.3,91.0,CENTRO,15
1.9,37.0,1.5666666666666667,1.2,10.62,2.6,32.42,5.0,10.6,104.0,CENTRO,16
1.94,34.0,1.6,1.4,9.99,3.1,33.25,3.4,8.1,158.0,CENTRO,17
1.93,32.0,1.5,1.5,10.76,3.0,32.68,3.2,7.5,164.0,CENTRO,18
1.9,30.0,1.4,1.2,9.68,2.6,36.19,2.9,8.3,163.0,CENTRO,19
1.94,27.0,1.3,1.9,13.97,3.2,36.93,2.9,7.3,155.0,CENTRO,20
1.92,26.0,1.3,1.5,11.22,2.8,37.56,2.8,8.9,120.0,CENTRO,21
1.9,23.0,1.3166666666666667,1.0,8.61,2.3,31.35,2.7,11.3,127.0,CENTRO,22
1.86,25.0,1.3333333333333333,1.08,6.84,1.6,33.61,2.7,11.6,144.0,CENTRO,23
1.86,24.0,1.35,1.16,5.78,1.5,28.0,2.6,10.2,131.0,CENTRO,0
1.86,22.0,1.3666666666666667,1.24,6.04,1.6,24.29,2.6,8.9,124.0,CENTRO,1
1.86,23.0,1.3833333333333333,1.3199999999999998,5.64,1.5,21.47,2.5,6.4,116.0,CENTRO,2
1.89,17.0,1.4,1.4,7.29,2.8,20.54,3.0,4.2,29.0,CENTRO,3
1.91,12.0,1.6,2.5,10.33,4.1,21.77,3.7,5.3,33.0,CENTRO,4
2.01,6.0,2.3,4.0,18.0,6.3,33.79,3.5,4.6,27.0,CENTRO,5
2.18,8.0,1.7,3.4,12.57,5.1,29.42,3.2,4.4,41.0,CENTRO,6
2.24,7.0,3.2,3.6,12.25,6.7,46.07,3.2,1.7,9.0,CENTRO,7
2.29,11.0,5.6,4.0,14.03,9.6,57.28,4.0,3.5,6.0,CENTRO,8
2.23,18.0,4.2,3.9,13.27,8.1,57.28,4.2,4.9,10.0,CENTRO,9
2.14,30.0,2.6,3.3,12.92,6.0,59.07,4.0,5.4,15.0,CENTRO,10
2.26,40.0,3.0,5.4,17.46,8.4,60.61,4.4,6.0,38.0,CENTRO,11
2.09,47.0,2.3,3.8,16.5,6.1,60.17,7.1,7.2,55.0,CENTRO,12
2.06,67.0,1.5,2.4,14.09,3.9,49.44,5.7,8.6,107.0,CENTRO,13
2.0,65.0,1.5,1.9,11.73,3.4,44.17,4.4,7.0,74.0,CENTRO,14
1.98,61.0,1.5999999999999999,2.1,10.86,3.6,37.9,4.1,9.5,68.0,CENTRO,15
1.99,50.0,1.7,2.2,10.63,3.9,27.17,4.0,11.5,80.0,CENTRO,16
1.96,53.0,1.5,1.8,9.77,3.3,23.25,3.8,10.3,90.0,CENTRO,17
1.98,46.0,1.5,1.9,10.2,3.4,24.77,3.4,9.5,117.0,CENTRO,18
1.95,38.0,1.4,1.6,10.93,3.0,21.81,4.4,7.7,162.0,CENTRO,19
1.98,34.0,1.3,2.0,12.72,3.2,31.59,4.9,6.7,147.0,CENTRO,20
1.94,32.0,1.3,1.5,11.76,2.8,37.09,4.9,5.5,148.0,CENTRO,21
1.97,29.0,1.25,1.8,12.1,3.1,27.77,4.2,4.3,115.0,CENTRO,22
1.96,29.0,1.2,1.5,11.07,2.7,17.05,4.0,2.6,144.0,CENTRO,23
1.99,23.0,1.3,2.1,11.23,3.4,14.89,4.0,1.2,282.0,CENTRO,0
2.03,20.0,1.4,3.5,11.47,4.9,15.05,3.6,5.0,125.0,CENTRO,1
1.93,26.0,1.3,2.0,10.76,3.2,13.45,3.2,7.0,65.0,CENTRO,2
1.93,18.0,1.4,2.2,10.22,3.6,18.94,4.2,7.1,6.0,CENTRO,3
2.01,17.0,1.3,2.1,10.29,3.4,27.8,6.8,4.3,323.0,CENTRO,4
1.98,21.0,1.3,2.0,10.98,3.3,49.01,7.7,3.3,278.0,CENTRO,5
2.0,15.0,1.4,3.2,13.51,4.5,29.93,7.1,1.9,16.0,CENTRO,6
2.04,14.0,1.7,3.6,13.77,5.3,34.23,5.3,2.8,235.0,CENTRO,7
2.16,13.0,3.5,4.8,15.89,8.3,43.76,5.2,2.1,224.0,CENTRO,8
2.24,22.0,3.7,5.9,21.68,9.5,40.23,9.2,4.8,288.0,CENTRO,9
2.14,33.0,2.0,3.7,18.3,5.8,41.7,5.1,6.0,25.0,CENTRO,10
2.06,39.0,1.7,3.1,19.37,4.8,56.85,4.3,5.0,17.0,CENTRO,11
2.07,50.0,1.5,2.8,19.75,4.3,54.39,3.8,5.3,253.0,CENTRO,12
2.07,55.0,1.5,2.8,19.57,4.2,38.84,3.5,8.5,193.0,CENTRO,13
2.06,38.0,1.7,2.2,9.36,3.7,32.78,2.7,3.8,211.0,CENTRO,14
2.19,30.0,1.9,3.2,9.24,5.1,36.94,2.6,2.3,228.0,CENTRO,15
2.13,38.0,1.9,2.8,11.76,4.7,33.06,2.7,3.6,213.0,CENTRO,16
2.11,45.0,1.5,2.6,15.11,4.2,25.49,3.1,4.6,295.0,CENTRO,17
2.11,49.0,1.4,2.4,13.99,3.9,27.52,2.7,3.6,338.0,CENTRO,18
2.17,42.0,1.4,3.0,15.18,4.3,24.57,2.8,8.2,16.0,CENTRO,19
2.05,25.0,1.375,2.3,9.66,3.6,28.53,2.6,4.6,237.0,CENTRO,20
2.02,23.0,1.35,1.9,8.78,3.3,25.09,2.5,3.5,230.0,CENTRO,21
2.06,24.0,1.325,2.4,10.82,3.8,25.39,2.6,6.8,307.0,CENTRO,22
2.03,24.0,1.3,1.9,9.61,3.2,22.42,2.5,5.3,285.0,CENTRO,23
1.86,40.0,1.2,0.3,5.18,1.5,23.55,2.6,10.8,290.0,CENTRO,0
1.84,42.0,1.3,0.0,5.17,1.3,25.28,2.5,15.5,276.0,CENTRO,1
1.82,46.0,1.32,0.02,4.35,1.34,31.86,2.5,13.6,280.0,CENTRO,2
1.82,46.0,1.34,0.04,4.39,1.3800000000000001,33.32,2.4,15.1,278.0,CENTRO,3
1.84,48.0,1.3599999999999999,0.060000000000000005,4.4,1.42,36.1,2.5,15.6,279.0,CENTRO,4
1.85,46.0,1.38,0.08,4.32,1.46,32.54,2.5,15.0,274.0,CENTRO,5
1.85,45.0,1.4,0.1,3.595,1.5,40.58,2.475,19.1,277.0,CENTRO,6
1.9,49.0,1.1,0.0,2.87,1.1,43.21,2.4499999999999997,21.7,274.0,CENTRO,7
1.9,47.0,1.0,0.1,2.8400000000000003,1.1,52.12,2.425,22.0,275.0,CENTRO,8
1.9,44.0,1.0,0.1,2.81,1.1,78.67,2.4,19.6,275.0,CENTRO,9
1.9,41.0,1.0,0.3,2.7800000000000002,1.3,67.24,2.4,21.4,274.0,CENTRO,10
1.94,37.0,1.5,0.4,2.75,1.9,69.7,2.42,18.3,270.0,CENTRO,11
1.97,34.0,1.0,0.7,2.72,1.6,58.14,2.44,11.1,259.0,CENTRO,12
2.01,32.0,1.1,1.0,2.8550000000000004,2.0,50.12,2.46,8.1,199.0,CENTRO,13
1.98,35.0,1.1,0.6,2.99,1.6,18.17,2.48,9.1,158.0,CENTRO,14
2.02,32.0,1.1,0.6,2.94,1.6,18.41,2.5,9.7,138.0,CENTRO,15
2.03,33.0,1.1,0.7,4.28,1.8,23.8,2.4,5.9,103.0,CENTRO,16
2.1,22.0,1.3,3.5,11.59,4.8,34.15,2.5,5.8,21.0,CENTRO,17
2.1665,21.714285714285715,1.6666666666666667,3.4857142857142858,11.716666666666667,5.147619047619047,27.37,2.715,5.87,23.25,CENTRO,18
2.233,21.428571428571427,2.033333333333333,3.4714285714285715,11.843333333333334,5.495238095238095,38.17,2.93,5.9399999999999995,25.5,CENTRO,19
2.2995,21.142857142857142,2.4,3.4571428571428573,11.97,5.8428571428571425,20.23,3.145,6.01,27.75,CENTRO,20
2.366,20.857142857142858,2.7666666666666666,3.442857142857143,12.096666666666666,6.190476190476191,17.8,3.36,6.08,30.0,CENTRO,21
2.29,30.0,1.6,3.1,18.11,4.7,23.28,2.9,6.0,125.0,CENTRO,22
2.29,26.0,1.6,2.8,18.87,4.65,21.7,2.9,5.6,115.0,CENTRO,23
2.28,25.0,1.6,2.7,18.81,4.4,16.52,2.95,5.4,109.0,CENTRO,0
2.26,23.0,1.6,2.8,19.35,4.4,22.51,3.0,4.9,102.0,CENTRO,1
2.28,23.0,1.69375,2.7,20.58,4.5,17.02,3.1,4.7,84.0,CENTRO,2
2.28,18.0,1.8,3.1,22.252,4.9,16.26,3.2,4.0,79.0,CENTRO,3
2.27,17.0,1.7266666666666668,3.0,22.89,4.9,15.71,3.2,3.7,86.0,CENTRO,4
2.32,17.0,1.8,3.25,23.005000000000003,5.1,11.74,3.2,3.2,109.5,CENTRO,5
2.35,14.0,2.2,4.55,23.381666666666668,6.8,11.49,3.2333333333333334,2.8,115.0,CENTRO,6
2.42,11.0,3.4,5.95,24.314999999999998,9.2,11.24,3.4,2.9,130.0,CENTRO,7
2.54,11.0,5.1,6.5,26.27,11.5,10.13,3.8,3.3,119.0,CENTRO,8
3.164,15.0,5.5,7.05,28.94,12.5,6.46,5.9399999999999995,6.92,57.0,CENTRO,9
3.2305,17.142857142857142,7.533333333333333,3.257142857142857,13.743333333333334,10.709523809523809,6.34,6.154999999999999,6.99,59.25,CENTRO,10
3.297,16.857142857142858,7.9,3.242857142857143,13.87,11.057142857142857,7.055,6.37,7.0600000000000005,61.5,CENTRO,11
3.3635,16.571428571428573,8.266666666666667,3.2285714285714286,13.996666666666666,11.404761904761905,7.77,6.585,7.13,63.75,CENTRO,12
3.43,16.285714285714285,8.633333333333333,3.2142857142857144,14.123333333333333,11.752380952380951,7.699047619047619,6.8,7.2,66.0,CENTRO,13
2.62,16.0,9.0,3.2,14.25,12.1,7.628095238095238,2.4,5.9,64.0,CENTRO,14
2.39,41.0,9.5,2.4,14.32,11.9,7.557142857142857,2.2,8.9,68.0,CENTRO,15
2.31,65.0,8.0,2.3,21.54,10.3,7.486190476190476,5.8,10.5,83.0,CENTRO,16
2.25,49.0,6.6,1.8,14.81,8.4,43.0,3.3,8.5,78.0,CENTRO,17
2.22,47.0,5.3,1.6,15.15,6.9,41.47,2.6,9.2,77.0,CENTRO,18
2.2,48.0,4.5,1.5,15.26,6.0,39.0,2.5,9.0,99.0,CENTRO,19
2.2,45.0,3.9,1.4,15.6,5.3,36.0,2.4,4.8,144.0,CENTRO,20
2.18,51.0,2.9,1.2,14.44,4.1,36.0,2.4,1.4,247.0,CENTRO,21
2.24,38.0,2.5,1.4,14.78,4.0,34.0,2.425,2.0,19.0,CENTRO,22
2.13,50.0,2.2,0.8,14.84,3.0,33.8,2.45,3.9,67.0,CENTRO,23
2.14,39.0,2.0,0.7,13.74,2.7,34.665,2.475,2.2,20.0,CENTRO,0
2.1,44.0,2.0,0.7,13.75,2.6,33.0,2.5,4.8,54.0,CENTRO,1
2.11,39.0,2.5,1.6,16.54,4.2,34.39,2.3,4.5,44.0,CENTRO,2
2.18,30.0,2.7,4.9,22.33,7.7,37.1,2.6,4.3,16.0,CENTRO,3
2.16,32.0,3.1,3.1,20.915,6.3,37.5,2.6,4.6,360.0,CENTRO,4
2.21,28.0,1.4,3.6,19.5,5.1,6.563809523809524,2.5,2.8,32.0,CENTRO,5
2.15,37.0,1.3,2.4,17.42,3.8,6.492857142857143,2.5,4.8,60.0,CENTRO,6
2.28,25.0,2.0,4.3,13.72,6.2,6.421904761904762,2.6,2.7,38.0,CENTRO,7
2.51,24.0,5.5,5.8,17.31,11.2,6.350952380952381,2.7,2.5,28.0,CENTRO,8
2.6,28.0,7.2,6.1,18.465999999999998,13.3,6.28,3.6,5.3,13.0,CENTRO,9
2.45,30.0,4.4,5.2,19.622,9.6,5.36,3.2,5.8,6.0,CENTRO,10
2.43,33.0,2.7,4.6,20.778,7.3,7.43,2.9,6.3,34.0,CENTRO,11
2.35,35.0,2.1,3.7,21.934,5.7,19.99,2.9,7.9,70.0,CENTRO,12
2.27,48.0,1.6,2.6,23.09,4.2,20.615,2.7,7.0,64.0,CENTRO,13
2.24,38.0,1.5,2.5,20.21,4.0,21.24,2.8,8.1,69.0,CENTRO,14
2.22,44.0,1.6,2.1,18.12,3.7,21.88,2.6,10.6,87.0,CENTRO,15
2.21,40.0,1.7,2.2,14.5,3.9,31.98,2.6,11.0,91.0,CENTRO,16
2.18,27.0,1.4,1.9,10.4,3.3,23.33,2.5,7.9,131.0,CENTRO,17
2.17,36.0,1.4,1.8,8.51,3.1,22.41,2.5,7.3,145.0,CENTRO,18
2.21,41.0,1.3,2.4,9.49,3.7,23.29,2.433333333333333,8.3,99.0,CENTRO,19
2.25,38.0,1.2,3.4,10.38,4.6,23.39,2.3666666666666667,4.6,67.0,CENTRO,20
2.2,30.0,1.2,2.5,11.09,3.7,20.2,2.3,4.9,90.0,CENTRO,21
2.03,32.0,1.0,0.4,3.92,1.4,20.13,2.5,11.8,148.0,CENTRO,22
2.02,48.0,1.1,0.2,3.24,1.3,19.56,2.4,6.4,155.0,CENTRO,23
2.04,35.0,1.1,0.9,4.17,2.0,15.706666666666665,2.5,2.8,99.0,CENTRO,0
2.18,23.0,1.2,4.0,8.36,5.2,11.853333333333332,2.4,4.4,39.0,CENTRO,1
2.13,27.0,1.0,2.9,11.59,4.0,8.0,2.5,3.0,36.0,CENTRO,2
2.11,29.0,1.1,2.8,14.819999999999999,4.0,6.0,2.5,1.5,19.0,CENTRO,3
2.09,24.0,1.1,2.8,18.049999999999997,4.0,18.0,2.6,0.9,9.0,CENTRO,4
2.1,19.0,1.1,3.2,21.279999999999998,4.3,11.0,2.6,1.2,17.0,CENTRO,5
2.13,19.0,1.6,2.7,24.509999999999998,4.4,12.0,2.7,0.9,337.0,CENTRO,6
2.29,22.0,1.8,3.3,27.74,5.1,34.0,2.6,1.1,349.0,CENTRO,7
2.44,15.0,3.7,5.7,26.05,9.4,34.0,2.7,1.2,47.0,CENTRO,8
2.47,11.0,3.1,5.3,26.38,8.5,32.0,2.7,1.1,30.0,CENTRO,9
2.54,21.0,4.4,5.8,27.16,10.2,32.0,2.8,2.4,14.0,CENTRO,10
2.67,25.0,5.3,6.1,32.59,11.3,39.0,2.7,3.6,353.0,CENTRO,11
2.49,30.0,3.3,5.5,26.66,8.9,49.0,2.7,5.9,48.0,CENTRO,12
2.31,40.0,1.8,3.3,18.65,5.2,38.0,2.6,6.2,78.0,CENTRO,13
2.15,34.0,1.5,1.4,13.07,2.9,24.0,2.6,9.3,126.0,CENTRO,14
2.11,42.0,1.4,1.0,12.285,2.3,7.0,2.575,8.4,125.0,CENTRO,15
2.12,43.0,1.3,1.1,11.5,2.4,10.0,2.55,5.9,113.0,CENTRO,16
2.15,39.0,1.4,1.2,10.715,2.7,9.0,2.525,6.4,129.0,CENTRO,17
2.13,40.0,1.4,1.1,9.93,2.5,17.0,2.5,9.8,149.0,CENTRO,18
2.13,33.0,1.2,1.3,9.02,2.5,4.0,2.5,10.3,128.0,CENTRO,19
2.14,27.0,1.2,1.5,8.11,2.8,5.0,2.4499999999999997,8.9,84.0,CENTRO,20
2.13,30.0,1.1,1.4,7.2,2.5,3.0,2.4,7.8,99.0,CENTRO,21
2.06,35.0,1.0,0.6,6.29,1.6,5.0,2.5,8.2,141.0,CENTRO,22
2.06,26.0,1.0,0.6,6.79,1.5,7.0,2.5,6.5,110.0,CENTRO,23
2.06,33.0,1.1,0.6,7.550000000000001,1.6,6.0,2.6,5.3,89.0,CENTRO,0
2.05,26.0,1.1,0.8,8.31,1.9,4.5,2.6999999999999997,5.4,49.0,CENTRO,1
2.08,21.0,1.2,2.7,9.085,4.0,3.0,2.8,5.2,9.0,CENTRO,2
2.08,24.0,1.0,1.3,9.86,2.5,13.0,2.8,5.0,51.0,CENTRO,3
2.05,25.0,1.1,0.9,10.625,2.0,9.0,2.5,2.9,61.0,CENTRO,4
2.09,21.0,1.2,2.3,11.39,3.5,6.5,2.7,1.7,26.0,CENTRO,5
2.15,27.0,1.3,3.1,12.834,4.4,4.0,3.0,1.2,51.0,CENTRO,6
2.33,18.0,2.3,4.0,14.278,6.3,8.0,2.8,1.4,2.0,CENTRO,7
2.47,23.0,4.1,4.2,15.722,8.3,12.0,2.7,3.5,36.0,CENTRO,8
2.48,14.0,4.9,4.6,17.166,9.5,13.0,3.4,2.5,89.0,CENTRO,9
2.48,27.0,3.4,4.3,18.61,7.7,43.0,3.3,3.4,32.0,CENTRO,10
2.63,20.0,5.5,5.9,21.695,11.4,27.0,4.0,5.1,76.0,CENTRO,11
2.43,28.0,2.5,4.1,24.78,6.7,44.0,3.8,3.5,8.0,CENTRO,12
2.44,43.0,2.2,4.8,25.94,7.0,26.0,3.4,3.2,49.0,CENTRO,13
2.45,81.0,1.6,5.0,30.73,6.6,45.0,3.7,3.9,75.0,CENTRO,14
2.44,94.0,1.4,4.2,32.55,5.5,58.0,3.7,5.7,64.0,CENTRO,15
2.32,88.0,1.1,2.2,23.51,3.4,40.0,2.9,7.1,102.0,CENTRO,16
2.21,69.0,1.2,1.4,14.7,2.7,27.0,2.8,8.7,125.0,CENTRO,17
2.2,43.0,1.3,1.7,14.745,3.0,7.0,2.7,8.8,132.0,CENTRO,18
2.21,40.0,1.2,1.9,14.79,3.2,16.0,2.6,6.7,133.0,CENTRO,19
2.22,34.0,1.1,1.9,16.365000000000002,3.2,11.0,2.6,4.4,137.0,CENTRO,20
2.24,34.0,1.1,2.4,17.94,3.6,23.0,2.566666666666667,3.3,156.0,CENTRO,21
2.23,25.0,1.1,2.0,18.75,3.2,26.0,2.533333333333333,1.5,145.0,CENTRO,22
2.16,27.0,1.1,1.2,18.39,2.3,21.0,2.5,1.1,124.0,CENTRO,23
2.09,33.0,1.1,0.5,18.326666666666668,1.6,14.31,2.6,5.5,88.0,CENTRO,0
2.13,30.0,1.1,1.2,18.263333333333332,2.4,15.66,2.6,4.7,61.0,CENTRO,1
2.13,28.0,1.1,0.9,18.2,2.0,26.16,2.6666666666666665,2.0,19.0,CENTRO,2
2.14,26.0,1.5,2.4,18.06,3.9,19.7,2.7333333333333334,3.0,359.0,CENTRO,3
2.17,18.0,1.6,2.7,17.75,4.3,17.17,2.8,1.6,31.0,CENTRO,4
2.17,23.0,1.5,2.6,17.44,4.1,20.72,3.1,2.1,63.0,CENTRO,5
2.23,20.0,2.5,3.1,19.87,5.5,26.69,3.0,1.5,330.0,CENTRO,6
2.35,21.0,5.1,3.1,21.9,8.1,26.16,2.9,2.4,337.0,CENTRO,7
2.43,16.0,5.5,3.2,23.11,8.7,29.01,2.7,4.2,22.0,CENTRO,8
2.58,21.0,5.9,3.8,26.44,9.7,46.33,2.8,4.4,50.0,CENTRO,9
2.58,25.0,5.4,4.6,33.94,10.0,42.68,2.8,5.4,72.0,CENTRO,10
2.56,39.0,3.3,5.0,37.45,8.3,66.48,2.7,4.4,34.0,CENTRO,11
2.57,54.0,2.5,5.1,39.54,7.6,55.83,3.0,7.8,53.0,CENTRO,12
2.43,68.0,1.7,4.1,36.51,5.8,52.95,3.6,7.2,67.0,CENTRO,13
2.33,72.0,1.5,2.5,28.96,4.0,58.54,4.0,8.5,57.0,CENTRO,14
2.27,81.0,1.5,2.8,28.7,4.3,58.8,4.5,7.2,42.0,CENTRO,15
2.26,73.0,1.5,3.5,26.69,5.0,41.98,5.0,6.0,74.0,CENTRO,16
2.33,100.0,1.3,2.8,29.09,4.1,30.02,4.0,5.8,91.0,CENTRO,17
2.37,96.0,1.2,2.4,27.643333333333334,3.6,27.26,3.1,3.9,79.0,CENTRO,18
2.42,89.0,1.1,3.5,26.196666666666665,4.7,31.04,3.3,3.2,78.0,CENTRO,19
2.3,42.0,1.1,2.8,24.75,4.0,35.77,3.3,3.4,225.0,CENTRO,20
2.27,58.0,1.2,2.8,19.61,4.0,35.65,3.1,1.9,278.0,CENTRO,21
2.3,76.0,1.1,1.3,30.22,2.5,36.81,2.9,5.8,116.0,CENTRO,22
2.29,58.0,1.1,1.4,28.24,2.5,35.13,2.7,1.8,128.0,CENTRO,23
2.2550000000000003,40.0,1.3,1.8,24.134999999999998,3.1,40.935,2.65,3.4000000000000004,92.0,CENTRO,0
2.22,22.0,1.5,2.2,20.03,3.7,46.74,2.6,5.0,56.0,CENTRO,1
2.19,19.0,2.3,2.4,20.58,4.7,51.64,2.6,2.8,57.0,CENTRO,2
2.21,14.0,2.7,2.6,22.97,5.3,53.63,2.58,1.2,182.0,CENTRO,3
2.25,13.0,2.0,2.5,22.72,4.5,47.13,2.56,5.1,25.0,CENTRO,4
2.24,21.0,1.3,1.3,15.54,2.6,38.54,2.54,10.1,2.0,CENTRO,5
2.11,41.0,1.1,0.5,5.39,1.7,13.44,2.52,5.9,284.0,CENTRO,6
2.15,37.0,1.1,1.1,4.14,2.3,9.04,2.5,5.1,242.0,CENTRO,7
