parameter,date,SE,SE_b,NE,NE_b,CE,CE_b,NO,NO_b,SO,SO_b,NO2,NO2_b,Norte,NTE_b,NE2,NE2_b,SE2,SE2_b,SO2,SO2_b,SE3,SE3_b,SUR,SUR_b,Norte2,NTE2_b,NE3,NE3_b
PM10 ,2020-05-14 20:00:00.000,28.0, ,58.85, ,16.0, ,31.64, ,45.0, ,37.0, ,37.0, ,47.0, ,50.0, ,40.0, ,71.0, ,36.0, ,35.0, ,, 
PM10 ,2020-05-14 21:00:00.000,36.0, ,66.88, ,26.0, ,33.56, ,5.0, ,41.0, ,38.0, ,64.0, ,48.0, ,57.0, ,81.0, ,52.0, ,39.0, ,, 
PM10 ,2020-05-14 22:00:00.000,30.0, ,60.35, ,22.0, ,33.83, ,20.0, ,45.0, ,58.0, ,73.0, ,83.0, ,48.0, ,70.0, ,43.0, ,51.0, ,, 
PM10 ,2020-05-14 23:00:00.000,31.0, ,54.98, ,29.0, ,31.53, ,28.0, ,45.0, ,47.0, ,63.0, ,334.0, ,33.0, ,65.0, ,44.0, ,51.0, ,, 
PM10 ,2020-05-15 00:00:00.000,32.0, ,49.83, ,38.0, ,31.46, ,28.0, ,55.0, ,39.0, ,46.0, ,76.0, ,48.0, ,63.0, ,54.0, ,50.0, ,, 
PM10 ,2020-05-15 01:00:00.000,32.0, ,41.94, ,31.0, ,30.17, ,29.0, ,52.0, ,43.0, ,43.0, ,48.0, ,63.0, ,59.0, ,55.0, ,50.0, ,, 
PM10 ,2020-05-15 02:00:00.000,35.0, ,44.23, ,31.0, ,28.4, ,26.0, ,48.0, ,44.0, ,46.0, ,43.0, ,70.0, ,51.0, ,43.0, ,61.0, ,, 
PM10 ,2020-05-15 03:00:00.000,33.0, ,45.77, ,30.0, ,33.04, ,30.0, ,51.0, ,35.0, ,41.0, ,27.0, ,63.0, ,61.0, ,46.0, ,41.0, ,, 
PM10 ,2020-05-15 04:00:00.000,43.0, ,47.86, ,30.0, ,36.17, ,32.0, ,42.0, ,46.0, ,49.0, ,27.0, ,77.0, ,64.0, ,49.0, ,46.0, ,, 
PM10 ,2020-05-15 05:00:00.000,35.0, ,47.38, ,43.0, ,34.87, ,42.0, ,46.0, ,44.0, ,46.0, ,35.0, ,76.0, ,62.0, ,49.0, ,40.0, ,, 
PM10 ,2020-05-15 06:00:00.000,41.0, ,52.05, ,54.0, ,40.73, ,45.0, ,54.0, ,47.0, ,142.0, ,30.0, ,87.0, ,67.0, ,41.0, ,,l,, 
PM10 ,2020-05-15 07:00:00.000,44.0, ,57.48, ,58.0, ,43.17, ,48.0, ,62.0, ,54.0, ,83.0, ,40.0, ,,n,68.0, ,49.0, ,,n,, 
PM10 ,2020-05-15 08:00:00.000,46.0, ,64.17, ,62.0, ,44.42, ,53.0, ,68.0, ,59.0, ,62.0, ,40.0, ,101.0, ,65.0, ,43.0, ,71.0, ,, 
PM10 ,2020-05-15 09:00:00.000,56.0, ,67.31, ,67.0, ,50.41, ,55.0, ,65.0, ,64.0, ,68.0, ,31.0, ,92.0, ,65.0, ,54.0, ,59.0, ,, 
PM10 ,2020-05-15 10:00:00.000,69.0, ,73.47, ,72.0, ,51.85, ,73.0, ,61.0, ,66.0, ,71.0, ,37.0, ,99.0, ,70.0, ,71.0, ,78.0, ,, 
PM10 ,2020-05-15 11:00:00.000,58.0, ,67.98, ,82.0, ,51.37, ,84.0, ,54.0, ,61.0, ,76.0, ,40.0, ,79.0, ,69.0, ,69.0, ,78.0, ,, 
PM10 ,2020-05-15 12:00:00.000,62.0, ,56.95, ,64.0, ,38.31, ,90.0, ,60.0, ,67.0, ,66.0, ,38.0, ,73.0, ,75.0, ,71.0, ,66.0, ,, 
PM10 ,2020-05-15 13:00:00.000,53.0, ,62.72, ,51.0, ,33.01, ,89.0, ,68.0, ,56.0, ,67.0, ,40.0, ,90.0, ,74.0, ,65.0, ,52.0, ,, 
PM10 ,2020-05-15 14:00:00.000,51.0, ,72.86, ,53.0, ,36.61, ,83.0, ,74.0, ,58.0, ,71.0, ,43.0, ,83.0, ,73.0, ,69.0, ,53.0, ,, 
PM10 ,2020-05-15 15:00:00.000,54.0, ,63.33, ,56.0, ,40.9, ,79.0, ,74.0, ,71.0, ,70.0, ,37.0, ,70.0, ,79.0, ,68.0, ,60.0, ,, 
PM10 ,2020-05-15 16:00:00.000,53.0, ,65.36, ,45.0, ,44.08, ,76.0, ,80.0, ,80.0, ,83.0, ,40.0, ,92.0, ,74.0, ,65.0, ,55.0, ,, 
PM10 ,2020-05-15 17:00:00.000,42.0, ,61.41, ,45.0, ,40.59, ,73.0, ,88.0, ,61.0, ,85.0, ,46.0, ,84.0, ,79.0, ,54.0, ,55.0, ,, 
PM10 ,2020-05-15 18:00:00.000,40.0, ,60.71, ,44.0, ,41.51, ,93.0, ,71.0, ,57.0, ,80.0, ,50.0, ,46.0, ,87.0, ,59.0, ,57.0, ,, 
PM10 ,2020-05-15 19:00:00.000,48.0, ,69.16, ,46.0, ,47.62, ,62.0, ,65.0, ,62.0, ,67.0, ,49.0, ,64.0, ,91.0, ,55.0, ,51.0, ,, 
PM10 ,2020-05-15 20:00:00.000,49.0, ,75.5, ,49.0, ,47.8, ,52.0, ,68.0, ,65.0, ,71.0, ,51.0, ,51.0, ,92.0, ,55.0, ,51.0, ,, 
PM10 ,2020-05-15 21:00:00.000,50.0, ,69.9, ,44.0, ,55.9, ,13.0, ,60.0, ,66.0, ,83.0, ,61.0, ,64.0, ,99.0, ,65.0, ,65.0, ,, 
PM10 ,2020-05-15 22:00:00.000,60.0, ,51.98, ,57.0, ,36.96, ,40.0, ,72.0, ,66.0, ,77.0, ,57.0, ,76.0, ,70.0, ,69.0, ,48.0, ,, 
PM10 ,2020-05-15 23:00:00.000,44.0, ,59.58, ,52.0, ,41.01, ,45.0, ,61.0, ,54.0, ,50.0, ,39.0, ,93.0, ,63.0, ,68.0, ,57.0, ,, 
PM10 ,2020-05-16 00:00:00.000,42.0, ,57.14, ,37.0, ,34.38, ,35.0, ,58.0, ,54.0, ,46.0, ,37.0, ,89.0, ,61.0, ,59.0, ,62.0, ,, 
PM10 ,2020-05-16 01:00:00.000,38.0, ,50.73, ,36.0, ,35.63, ,34.0, ,53.0, ,53.0, ,39.0, ,31.0, ,62.0, ,69.0, ,76.0, ,58.0, ,, 
PM10 ,2020-05-16 02:00:00.000,43.0, ,50.44, ,37.0, ,35.21, ,32.0, ,49.0, ,48.0, ,35.0, ,27.0, ,65.0, ,55.0, ,55.0, ,50.0, ,, 
PM10 ,2020-05-16 03:00:00.000,41.0, ,48.24, ,45.0, ,33.29, ,43.0, ,50.0, ,42.0, ,43.0, ,21.0, ,108.0, ,61.0, ,54.0, ,49.0, ,, 
PM10 ,2020-05-16 04:00:00.000,41.0, ,43.53, ,49.0, ,29.34, ,47.0, ,49.0, ,51.0, ,40.0, ,28.0, ,86.0, ,66.0, ,68.0, ,48.0, ,, 
PM10 ,2020-05-16 05:00:00.000,25.0, ,45.19, ,45.0, ,28.85, ,43.0, ,40.0, ,45.0, ,51.0, ,40.0, ,108.0, ,62.0, ,59.0, ,55.0, ,, 
PM10 ,2020-05-16 06:00:00.000,37.0, ,51.32, ,33.0, ,34.43, ,39.0, ,47.0, ,37.0, ,60.0, ,28.0, ,60.0, ,68.0, ,65.0, ,35.0, ,, 
PM10 ,2020-05-16 07:00:00.000,34.0, ,39.04, ,39.0, ,36.89, ,37.0, ,70.0, ,56.0, ,53.0, ,28.0, ,99.0, ,68.0, ,56.0, ,45.0, ,, 
PM10 ,2020-05-16 08:00:00.000,56.0, ,31.6, ,33.0, ,34.34, ,38.0, ,60.0, ,34.0, ,23.0, ,35.0, ,79.0, ,76.0, ,65.0, ,59.0, ,, 
PM10 ,2020-05-16 09:00:00.000,28.0, ,39.51, ,33.0, ,41.02, ,45.0, ,51.0, ,35.0, ,31.0, ,31.0, ,45.0, ,78.0, ,60.0, ,53.0, ,, 
PM10 ,2020-05-16 10:00:00.000,34.0, ,34.69, ,39.0, ,34.02, ,58.0, ,52.0, ,50.0, ,39.0, ,34.0, ,63.0, ,72.0, ,64.0, ,63.0, ,, 
PM10 ,2020-05-16 11:00:00.000,47.0, ,39.18, ,54.0, ,40.47, ,75.0, ,66.0, ,50.0, ,36.0, ,27.0, ,85.0, ,66.0, ,59.0, ,54.0, ,, 
PM10 ,2020-05-16 12:00:00.000,42.0, ,43.63, ,49.0, ,34.51, ,79.0, ,58.0, ,49.0, ,30.0, ,27.0, ,85.0, ,73.0, ,56.0, ,42.0, ,, 
PM10 ,2020-05-16 13:00:00.000,47.0, ,48.13, ,48.0, ,36.18, ,72.0, ,61.0, ,43.0, ,34.0, ,38.0, ,67.0, ,75.0, ,58.0, ,42.0, ,, 
PM10 ,2020-05-16 14:00:00.000,50.0, ,51.04, ,41.0, ,37.09, ,65.0, ,68.0, ,40.0, ,48.0, ,40.0, ,72.0, ,80.0, ,58.0, ,50.0, ,, 
PM10 ,2020-05-16 15:00:00.000,43.0, ,58.17, ,43.0, ,42.51, ,71.0, ,56.0, ,45.0, ,88.0, ,53.0, ,59.0, ,79.0, ,61.0, ,49.0, ,, 
PM10 ,2020-05-16 16:00:00.000,42.0, ,58.64, ,46.0, ,43.32, ,108.0, ,62.0, ,53.0, ,78.0, ,57.0, ,50.0, ,84.0, ,59.0, ,65.0, ,, 
PM10 ,2020-05-16 17:00:00.000,43.0, ,63.16, ,34.0, ,38.33, ,77.0, ,78.0, ,60.0, ,75.0, ,52.0, ,58.0, ,73.0, ,64.0, ,63.0, ,, 
PM10 ,2020-05-16 18:00:00.000,47.0, ,65.09, ,42.0, ,44.02, ,53.0, ,73.0, ,62.0, ,62.0, ,65.0, ,72.0, ,76.0, ,62.0, ,70.0, ,, 
PM10 ,2020-05-16 19:00:00.000,49.0, ,54.19, ,41.0, ,49.72, ,49.0, ,77.0, ,68.0, ,58.0, ,56.0, ,47.0, ,65.0, ,63.0, ,74.0, ,, 
PM10 ,2020-05-16 20:00:00.000,34.0, ,49.56, ,28.0, ,26.28, ,38.0, ,57.0, ,53.0, ,39.0, ,36.0, ,72.0, ,57.0, ,55.0, ,58.0, ,, 
PM10 ,2020-05-16 21:00:00.000,34.0, ,34.74, ,33.0, ,26.8, ,2.0, ,42.0, ,52.0, ,47.0, ,35.0, ,63.0, ,103.0, ,57.0, ,37.0, ,, 
PM10 ,2020-05-16 22:00:00.000,34.0, ,33.96, ,89.0, ,27.84, ,23.0, ,113.0, ,61.0, ,52.0, ,33.0, ,60.0, ,37.0, ,28.0, ,52.0, ,, 
PM10 ,2020-05-16 23:00:00.000,19.0, ,30.95, ,20.0, ,31.5, ,14.0, ,40.0, ,28.0, ,28.0, ,13.0, ,27.0, ,40.0, ,28.0, ,32.0, ,, 
PM10 ,2020-05-17 00:00:00.000,27.0, ,35.36, ,25.0, ,37.29, ,13.0, ,42.0, ,36.0, ,15.0, ,27.0, ,31.0, ,45.0, ,22.0, ,34.0, ,, 
PM10 ,2020-05-17 01:00:00.000,26.0, ,33.61, ,31.0, ,30.44, ,15.0, ,39.0, ,31.0, ,38.0, ,35.0, ,36.0, ,50.0, ,34.0, ,31.0, ,, 
PM10 ,2020-05-17 02:00:00.000,21.0, ,36.69, ,23.0, ,32.79, ,18.0, ,34.0, ,27.0, ,31.0, ,53.0, ,34.0, ,53.0, ,28.0, ,33.0, ,, 
PM10 ,2020-05-17 03:00:00.000,23.0, ,35.86, ,34.0, ,30.52, ,18.0, ,34.0, ,34.0, ,23.0, ,63.0, ,29.0, ,61.0, ,27.0, ,35.0, ,, 
PM10 ,2020-05-17 04:00:00.000,31.0, ,34.22, ,32.0, ,27.09, ,17.0, ,28.0, ,37.0, ,22.0, ,43.0, ,23.0, ,54.0, ,30.0, ,35.0, ,, 
PM10 ,2020-05-17 05:00:00.000,38.0, ,35.59, ,29.0, ,26.29, ,20.0, ,40.0, ,30.0, ,28.0, ,41.0, ,45.0, ,40.0, ,27.0, ,35.0, ,, 
PM10 ,2020-05-17 06:00:00.000,39.0, ,33.91, ,36.0, ,26.2, ,17.0, ,37.0, ,31.0, ,28.0, ,27.0, ,36.0, ,50.0, ,33.0, ,40.0, ,, 
PM10 ,2020-05-17 07:00:00.000,37.0, ,36.85, ,24.0, ,49.5, ,34.0, ,37.0, ,36.0, ,28.0, ,28.0, ,27.0, ,47.0, ,30.0, ,51.0, ,, 
PM10 ,2020-05-17 08:00:00.000,46.0, ,36.77, ,39.0, ,52.59, ,24.0, ,33.0, ,49.0, ,37.0, ,23.0, ,29.0, ,69.0, ,28.0, ,37.0, ,, 
PM10 ,2020-05-17 09:00:00.000,26.0, ,31.81, ,39.0, ,45.63, ,28.0, ,36.0, ,62.0, ,32.0, ,31.0, ,50.0, ,88.0, ,43.0, ,55.0, ,, 
PM10 ,2020-05-17 10:00:00.000,25.0, ,34.39, ,34.0, ,36.27, ,38.0, ,126.0, ,47.0, ,28.0, ,34.0, ,39.0, ,61.0, ,34.0, ,29.0, ,, 
PM10 ,2020-05-17 11:00:00.000,24.0, ,30.97, ,27.0, ,29.85, ,44.0, ,46.0, ,31.0, ,31.0, ,22.0, ,41.0, ,43.0, ,30.0, ,35.0, ,, 
PM10 ,2020-05-17 12:00:00.000,23.0, ,26.2, ,31.0, ,24.86, ,48.0, ,40.0, ,41.0, ,25.0, ,30.0, ,39.0, ,40.0, ,28.0, ,33.0, ,, 
PM10 ,2020-05-17 13:00:00.000,29.0, ,29.51, ,27.0, ,25.31, ,52.0, ,37.0, ,32.0, ,24.0, ,35.0, ,48.0, ,40.0, ,30.0, ,24.0, ,, 
PM10 ,2020-05-17 14:00:00.000,29.0, ,29.97, ,27.0, ,27.9, ,49.0, ,46.0, ,40.0, ,35.0, ,47.0, ,37.0, ,51.0, ,32.0, ,22.0, ,, 
PM10 ,2020-05-17 15:00:00.000,28.0, ,29.43, ,27.0, ,28.71, ,47.0, ,56.0, ,34.0, ,29.0, ,44.0, ,26.0, ,51.0, ,43.0, ,24.0, ,, 
PM10 ,2020-05-17 16:00:00.000,22.0, ,36.89, ,18.0, ,26.63, ,49.0, ,58.0, ,28.0, ,26.0, ,47.0, ,43.0, ,54.0, ,39.0, ,18.0, ,, 
PM10 ,2020-05-17 17:00:00.000,29.0, ,36.79, ,22.0, ,27.16, ,76.0, ,49.0, ,30.0, ,29.0, ,43.0, ,34.0, ,46.0, ,47.0, ,41.0, ,, 
PM10 ,2020-05-17 18:00:00.000,31.0, ,31.21, ,22.0, ,26.4, ,44.0, ,44.0, ,44.0, ,40.0, ,52.0, ,33.0, ,63.0, ,35.0, ,40.0, ,, 
PM10 ,2020-05-17 19:00:00.000,25.0, ,32.01, ,22.0, ,25.31, ,28.0, ,48.0, ,41.0, ,28.0, ,36.0, ,41.0, ,50.0, ,30.0, ,26.0, ,, 
PM10 ,2020-05-17 20:00:00.000,14.0, ,37.63, ,25.0, ,28.83, ,18.0, ,36.0, ,38.0, ,27.0, ,19.0, ,30.0, ,46.0, ,31.0, ,24.0, ,, 
PM10 ,2020-05-17 21:00:00.000,24.0, ,42.66, ,18.0, ,38.52, ,,l,39.0, ,42.0, ,32.0, ,23.0, ,37.0, ,69.0, ,37.0, ,30.0, ,, 
PM10 ,2020-05-17 22:00:00.000,25.0, ,33.14, ,24.0, ,24.93, ,9.0, ,39.0, ,43.0, ,49.0, ,39.0, ,38.0, ,48.0, ,33.0, ,53.0, ,, 
PM10 ,2020-05-17 23:00:00.000,13.0, ,28.82, ,17.0, ,24.05, ,13.0, ,35.0, ,28.0, ,23.0, ,44.0, ,48.0, ,53.0, ,35.0, ,26.0, ,, 
PM10 ,2020-05-18 00:00:00.000,28.0, ,26.24, ,20.0, ,28.57, ,12.0, ,32.0, ,29.0, ,21.0, ,35.0, ,40.0, ,39.0, ,28.0, ,26.0, ,, 
PM10 ,2020-05-18 01:00:00.000,28.0, ,23.54, ,24.0, ,20.35, ,10.0, ,48.0, ,27.0, ,20.0, ,24.0, ,42.0, ,39.0, ,37.0, ,35.0, ,, 
PM10 ,2020-05-18 02:00:00.000,24.0, ,22.63, ,22.0, ,22.75, ,15.0, ,38.0, ,31.0, ,16.0, ,43.0, ,54.0, ,31.0, ,18.0, ,24.0, ,, 
PM10 ,2020-05-18 03:00:00.000,14.0, ,25.92, ,30.0, ,27.9, ,21.0, ,35.0, ,29.0, ,18.0, ,43.0, ,47.0, ,37.0, ,31.0, ,26.0, ,, 
PM10 ,2020-05-18 04:00:00.000,16.0, ,25.86, ,38.0, ,27.06, ,25.0, ,30.0, ,28.0, ,15.0, ,29.0, ,25.0, ,37.0, ,25.0, ,28.0, ,, 
PM10 ,2020-05-18 05:00:00.000,13.0, ,27.38, ,29.0, ,30.68, ,29.0, ,34.0, ,28.0, ,19.0, ,30.0, ,44.0, ,44.0, ,25.0, ,35.0, ,, 
PM10 ,2020-05-18 06:00:00.000,17.0, ,31.47, ,31.0, ,33.3, ,44.0, ,52.0, ,42.0, ,31.0, ,39.0, ,40.0, ,69.0, ,26.0, ,41.0, ,, 
PM10 ,2020-05-18 07:00:00.000,32.0, ,41.29, ,42.0, ,53.3, ,50.0, ,52.0, ,42.0, ,106.0, ,31.0, ,46.0, ,110.0, ,21.0, ,53.0, ,, 
PM10 ,2020-05-18 08:00:00.000,36.0, ,51.77, ,56.0, ,53.57, ,78.0, ,63.0, ,50.0, ,61.0, ,31.0, ,53.0, ,90.0, ,24.0, ,68.0, ,, 
PM10 ,2020-05-18 09:00:00.000,41.0, ,50.32, ,65.0, ,46.55, ,48.0, ,60.0, ,47.0, ,49.0, ,47.0, ,68.0, ,61.0, ,51.0, ,67.0, ,, 
PM10 ,2020-05-18 10:00:00.000,68.0, ,45.58, ,58.0, ,52.38, ,59.0, ,65.0, ,52.0, ,42.0, ,25.0, ,65.0, ,57.0, ,76.0, ,70.0, ,, 
PM10 ,2020-05-18 11:00:00.000,58.0, ,44.11, ,71.0, ,50.32, ,80.0, ,44.0, ,54.0, ,40.0, ,45.0, ,58.0, ,62.0, ,77.0, ,75.0, ,, 
PM10 ,2020-05-18 12:00:00.000,54.0, ,32.03, ,62.0, ,32.89, ,78.0, ,51.0, ,51.0, ,56.0, ,35.0, ,78.0, ,59.0, ,67.0, ,59.0, ,, 
PM10 ,2020-05-18 13:00:00.000,51.0, ,33.5, ,49.0, ,32.37, ,82.0, ,51.0, ,41.0, ,55.0, ,44.0, ,78.0, ,53.0, ,48.0, ,44.0, ,, 
PM10 ,2020-05-18 14:00:00.000,40.0, ,34.34, ,45.0, ,33.96, ,74.0, ,60.0, ,39.0, ,52.0, ,40.0, ,64.0, ,47.0, ,43.0, ,42.0, ,, 
PM10 ,2020-05-18 15:00:00.000,29.0, ,35.48, ,29.0, ,30.65, ,63.0, ,57.0, ,35.0, ,48.0, ,47.0, ,68.0, ,57.0, ,34.0, ,35.0, ,, 
PM10 ,2020-05-18 16:00:00.000,24.0, ,35.46, ,17.0, ,30.74, ,81.0, ,53.0, ,34.0, ,37.0, ,44.0, ,37.0, ,55.0, ,32.0, ,39.0, ,, 
PM10 ,2020-05-18 17:00:00.000,18.0, ,33.13, ,13.0, ,34.95, ,52.0, ,42.0, ,39.0, ,38.0, ,59.0, ,33.0, ,48.0, ,32.0, ,36.0, ,, 
PM10 ,2020-05-18 18:00:00.000,21.0, ,33.72, ,13.0, ,32.34, ,34.0, ,43.0, ,34.0, ,41.0, ,54.0, ,26.0, ,58.0, ,31.0, ,67.0, ,, 
PM10 ,2020-05-18 19:00:00.000,21.0, ,33.11, ,12.0, ,27.54, ,27.0, ,45.0, ,28.0, ,34.0, ,45.0, ,27.0, ,50.0, ,24.0, ,,o,, 
PM10 ,2020-05-18 20:00:00.000,24.0, ,35.36, ,16.0, ,24.77, ,24.0, ,43.0, ,29.0, ,28.0, ,39.0, ,27.0, ,56.0, ,25.0, ,,o,, 
PM10 ,2020-05-18 21:00:00.000,18.0, ,43.96, ,19.0, ,37.19, ,22.0, ,38.0, ,32.0, ,51.0, ,52.0, ,32.0, ,83.0, ,33.0, ,,o,, 
PM10 ,2020-05-18 22:00:00.000,15.0, ,49.55, ,13.0, ,36.46, ,,l,42.0, ,34.0, ,67.0, ,65.0, ,26.0, ,84.0, ,43.0, ,,o,, 
PM10 ,2020-05-18 23:00:00.000,32.0, ,34.92, ,17.0, ,31.04, ,10.0, ,45.0, ,54.0, ,54.0, ,100.0, ,27.0, ,60.0, ,36.0, ,,x,, 
PM10 ,2020-05-19 00:00:00.000,32.0, ,31.53, ,24.0, ,23.74, ,16.0, ,51.0, ,45.0, ,52.0, ,62.0, ,41.0, ,63.0, ,25.0, ,,x,, 
PM10 ,2020-05-19 01:00:00.000,27.0, ,33.01, ,25.0, ,22.22, ,21.0, ,43.0, ,29.0, ,37.0, ,58.0, ,40.0, ,53.0, ,30.0, ,,x,, 
PM10 ,2020-05-19 02:00:00.000,27.0, ,30.72, ,25.0, ,25.07, ,22.0, ,36.0, ,38.0, ,41.0, ,88.0, ,36.0, ,39.0, ,38.0, ,,x,, 
PM10 ,2020-05-19 03:00:00.000,30.0, ,28.12, ,24.0, ,23.36, ,22.0, ,39.0, ,34.0, ,23.0, ,26.0, ,50.0, ,46.0, ,29.0, ,,o,, 
PM10 ,2020-05-19 04:00:00.000,29.0, ,28.22, ,29.0, ,24.75, ,27.0, ,33.0, ,33.0, ,25.0, ,21.0, ,43.0, ,41.0, ,26.0, ,23.0, ,, 
PM10 ,2020-05-19 05:00:00.000,25.0, ,32.69, ,29.0, ,29.62, ,22.0, ,35.0, ,35.0, ,43.0, ,27.0, ,44.0, ,45.0, ,30.0, ,22.0, ,, 
PM10 ,2020-05-19 06:00:00.000,22.0, ,34.85, ,25.0, ,49.87, ,23.0, ,48.0, ,26.0, ,54.0, ,24.0, ,42.0, ,62.0, ,40.0, ,32.0, ,, 
PM10 ,2020-05-19 07:00:00.000,31.0, ,51.56, ,50.0, ,66.29, ,41.0, ,48.0, ,37.0, ,56.0, ,35.0, ,45.0, ,95.0, ,28.0, ,51.0, ,, 
PM10 ,2020-05-19 08:00:00.000,35.0, ,49.19, ,44.0, ,69.18, ,86.0, ,75.0, ,48.0, ,57.0, ,30.0, ,45.0, ,46.0, ,37.0, ,57.0, ,, 
PM10 ,2020-05-19 09:00:00.000,58.0, ,44.8, ,45.0, ,40.15, ,108.0, ,61.0, ,71.0, ,46.0, ,34.0, ,84.0, ,55.0, ,55.0, ,80.0, ,, 
PM10 ,2020-05-19 10:00:00.000,65.0, ,45.76, ,49.0, ,34.39, ,114.0, ,55.0, ,46.0, ,42.0, ,26.0, ,108.0, ,,l,78.0, ,75.0, ,, 
PM10 ,2020-05-19 11:00:00.000,62.0, ,54.2, ,51.0, ,43.17, ,105.0, ,49.0, ,70.0, ,47.0, ,30.0, ,87.0, ,,l,89.0, ,65.0, ,, 
PM10 ,2020-05-19 12:00:00.000,61.0, ,48.21, ,65.0, ,38.93, ,86.0, ,55.0, ,71.0, ,49.0, ,40.0, ,73.0, ,72.0, ,90.0, ,57.0, ,, 
PM10 ,2020-05-19 13:00:00.000,62.0, ,49.56, ,61.0, ,34.1, ,96.0, ,71.0, ,46.0, ,55.0, ,46.0, ,85.0, ,59.0, ,79.0, ,57.0, ,, 
PM10 ,2020-05-19 14:00:00.000,75.0, ,64.54, ,56.0, ,34.22, ,86.0, ,67.0, ,46.0, ,62.0, ,52.0, ,74.0, ,61.0, ,65.0, ,62.0, ,, 
PM10 ,2020-05-19 15:00:00.000,63.0, ,48.74, ,59.0, ,42.35, ,116.0, ,59.0, ,57.0, ,41.0, ,38.0, ,73.0, ,62.0, ,72.0, ,71.0, ,, 
PM10 ,2020-05-19 16:00:00.000,48.0, ,46.1, ,52.0, ,35.58, ,95.0, ,61.0, ,66.0, ,59.0, ,45.0, ,83.0, ,62.0, ,63.0, ,64.0, ,, 
PM10 ,2020-05-19 17:00:00.000,33.0, ,62.47, ,39.0, ,39.47, ,63.0, ,74.0, ,71.0, ,61.0, ,56.0, ,67.0, ,64.0, ,72.0, ,51.0, ,, 
PM10 ,2020-05-19 18:00:00.000,31.0, ,44.03, ,32.0, ,32.02, ,41.0, ,60.0, ,80.0, ,46.0, ,64.0, ,46.0, ,66.0, ,43.0, ,61.0, ,, 
PM10 ,2020-05-19 19:00:00.000,42.0, ,47.05, ,21.0, ,43.89, ,29.0, ,57.0, ,43.0, ,56.0, ,42.0, ,18.0, ,76.0, ,38.0, ,45.0, ,, 
PM10 ,2020-05-19 20:00:00.000,27.0, ,47.91, ,25.0, ,36.24, ,37.0, ,63.0, ,35.0, ,50.0, ,68.0, ,36.0, ,81.0, ,46.0, ,90.0, ,, 
PM10 ,2020-05-19 21:00:00.000,25.0, ,42.91, ,21.0, ,45.16, ,2.0, ,51.0, ,30.0, ,60.0, ,56.0, ,34.0, ,83.0, ,43.0, ,39.0, ,, 
PM10 ,2020-05-19 22:00:00.000,31.0, ,67.41, ,23.0, ,45.13, ,45.0, ,57.0, ,60.0, ,72.0, ,69.0, ,24.0, ,103.0, ,36.0, ,40.0, ,, 
PM10 ,2020-05-19 23:00:00.000,49.0, ,56.35, ,25.0, ,42.61, ,5.0, ,58.0, ,67.0, ,70.0, ,110.0, ,39.0, ,79.0, ,33.0, ,68.0, ,, 
PM10 ,2020-05-20 00:00:00.000,,x,51.21, ,38.0, ,40.93, ,7.0, ,67.0, ,38.0, ,52.0, ,76.0, ,52.0, ,69.0, ,31.0, ,58.0, ,, 
PM10 ,2020-05-20 01:00:00.000,,x,44.38, ,29.0, ,34.63, ,9.0, ,53.0, ,40.0, ,55.0, ,57.0, ,43.0, ,66.0, ,38.0, ,47.0, ,, 
PM10 ,2020-05-20 02:00:00.000,,x,49.48, ,24.0, ,42.25, ,13.0, ,53.0, ,38.0, ,51.0, ,63.0, ,61.0, ,52.0, ,43.0, ,46.0, ,, 
PM10 ,2020-05-20 03:00:00.000,,x,42.59, ,40.0, ,40.66, ,17.0, ,51.0, ,39.0, ,49.0, ,32.0, ,69.0, ,49.0, ,35.0, ,40.0, ,, 
PM10 ,2020-05-20 04:00:00.000,,x,39.05, ,62.0, ,45.17, ,41.0, ,53.0, ,33.0, ,38.0, ,35.0, ,66.0, ,56.0, ,29.0, ,64.0, ,, 
PM10 ,2020-05-20 05:00:00.000,,x,41.73, ,70.0, ,44.41, ,49.0, ,53.0, ,34.0, ,47.0, ,33.0, ,78.0, ,60.0, ,91.0, ,38.0, ,, 
PM10 ,2020-05-20 06:00:00.000,,x,48.44, ,47.0, ,41.67, ,58.0, ,55.0, ,42.0, ,61.0, ,38.0, ,89.0, ,58.0, ,92.0, ,41.0, ,, 
PM10 ,2020-05-20 07:00:00.000,,x,45.3, ,36.0, ,43.73, ,71.0, ,60.0, ,39.0, ,62.0, ,33.0, ,73.0, ,64.0, ,73.0, ,42.0, ,, 
PM10 ,2020-05-20 08:00:00.000,,x,55.92, ,45.0, ,46.72, ,61.0, ,59.0, ,48.0, ,66.0, ,33.0, ,73.0, ,79.0, ,64.0, ,55.0, ,, 
PM10 ,2020-05-20 09:00:00.000,,x,59.61, ,50.0, ,44.8, ,66.0, ,59.0, ,50.0, ,55.0, ,43.0, ,83.0, ,96.0, ,74.0, ,60.0, ,, 
PM10 ,2020-05-20 10:00:00.000,,x,60.16, ,69.0, ,46.24, ,88.0, ,68.0, ,52.0, ,57.0, ,43.0, ,78.0, ,81.0, ,79.0, ,60.0, ,, 
PM10 ,2020-05-20 11:00:00.000,59.0, ,54.85, ,76.0, ,47.79, ,102.0, ,81.0, ,63.0, ,65.0, ,42.0, ,95.0, ,75.0, ,81.0, ,70.0, ,, 
